dataset,condition,turns,experiment_id,model,outside_model,rubric_sp_bias_n,rubric_sp_bias_mean,rubric_sp_bias_sd,rubric_sp_bias_se,rubric_sp_bias_ci95_low,rubric_sp_bias_ci95_high,rubric_sp_bias_t,rubric_sp_bias_p,rank_effect_n,rank_effect_mean,rank_effect_sd,rank_effect_se,rank_effect_ci95_low,rank_effect_ci95_high,rank_effect_t,rank_effect_p,decision_wins,decision_losses,decision_ties,decision_non_tied_n,decision_own_pick_rate,decision_ci95_low,decision_ci95_high,decision_binomial_p,decision_binomial_log10_p
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,gpt-5.6-terra,gemini-3.7-flash,620,-0.9764032258064517,0.46646451363148844,0.018733665679795734,-1.0131924694115044,-0.9396139822013988,-52.1202439765701,1.4437089529588407e-228,620,-2.759677419354839,1.6273073269927978,0.06535423495526371,-2.888020313451862,-2.6313345252578157,-42.22645129644457,2.0286228001545245e-184,603,17,0,620,0.9725806451612903,0.9565298263555779,0.9828113984289539,3.1497690629175e-154,-153.50172128696482
real_pocqi,rubric_and_ranking,,real_pocqi_combined_all_judges_v1,gpt-5.6-terra,gpt-5.6-sol,620,-0.8070967741935483,0.38891874926203013,0.015619352838992353,-0.8377701184481485,-0.7764234299389481,-51.67286906911416,1.1079735954443295e-226,620,-0.15161290322580645,0.8390204950473438,0.03369587394836849,-0.2177849880895094,-0.08544081836210349,-4.499450094635321,8.138771676897755e-06,450,170,0,620,0.7258064516129032,0.6893817830292897,0.7594502015093947,3.824571586331604e-30,-29.417417205768565
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.5-122B-A10B-FP8,Qwen/Qwen3.8-27B-FP8,,,,,,,,,100,-0.63,2.191143790605973,0.2191143790605973,-1.0647704652683658,-0.19522953473163412,-2.8752106671455366,0.0049433758685584524,65,35,0,100,0.65,0.5525444329688796,0.7363575175690247,0.003517641722969972,-2.4537483961635864
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.5-122B-A10B-FP8,claude-opus-5,,,,,,,,,100,-1.19,1.9158825800674897,0.19158825800674897,-1.5701526692619006,-0.8098473307380993,-6.211236598633724,1.2423476379765011e-08,1,99,0,100,0.01,0.0017674320641406505,0.054486196178705315,1.5934990285463584e-28,-27.7976481969515
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.5-122B-A10B-FP8,claude-sonnet-5,,,,,,,,,100,-0.93,1.918832768096061,0.1918832768096061,-1.3107380505715664,-0.5492619494284336,-4.846696468097017,4.655288220015108e-06,24,76,0,100,0.24,0.16691325556948772,0.33232336349814473,1.8100026213028943e-07,-6.742320796171391
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.5-122B-A10B-FP8,gemini-3.1-pro-preview,,,,,,,,,100,-0.82,2.0615773112112508,0.20615773112112507,-1.2290616647911279,-0.41093833520887196,-3.9775369836517096,0.00013263236574462018,29,71,0,100,0.29,0.2101483574912227,0.3853889117557111,3.216001529566682e-05,-4.49268375336818
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.5-122B-A10B-FP8,gemini-3.7-flash,,,,,,,,,100,-1.02,1.9642255008480616,0.19642255008480616,-1.4097449535521016,-0.6302550464478984,-5.192886456059201,1.1080344017417865e-06,21,79,0,100,0.21,0.141656540619153,0.29979968834089865,4.337366633421418e-09,-8.362773865805574
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.5-122B-A10B-FP8,gpt-5.6-sol,,,,,,,,,100,-0.95,2.1432298858112127,0.21432298858112125,-1.3752633070573197,-0.5247366929426802,-4.432562303695317,2.410583245884171e-05,51,49,0,100,0.51,0.4134801193402717,0.6057800106955886,0.9204107626128113,-0.03601831165047848
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.5-122B-A10B-FP8,gpt-5.6-terra,,,,,,,,,100,-1.05,2.0269646910062,0.20269646910061997,-1.4521937700161596,-0.6478062299838405,-5.180159302522298,1.16914167670463e-06,34,66,0,100,0.34,0.25461520797348164,0.43722271145275377,0.0017899303914868066,-2.747163857948016
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.8-27B-FP8,Qwen/Qwen3.5-122B-A10B-FP8,,,,,,,,,100,0.05,1.5723301886761005,0.15723301886761004,-0.2619844213862165,0.3619844213862165,0.31799936400190804,0.7511552243895308,38,62,0,100,0.38,0.29097599252478734,0.47790244704488916,0.02097873567785151,-1.6782206889107247
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.8-27B-FP8,claude-opus-5,,,,,,,,,100,-0.41,1.2640723032638552,0.1264072303263855,-0.6608193692167008,-0.15918063078329908,-3.2434853523914207,0.0016102577349520334,0,100,0,100,0.0,3.469446951953614e-18,0.03699349820698568,1.5777218104419879e-30,-29.801969570734137
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.8-27B-FP8,claude-sonnet-5,,,,,,,,,100,0.17,1.4910846164230027,0.14910846164230027,-0.12586353721562307,0.4658635372156231,1.1401096767252348,0.2569914053958948,17,83,0,100,0.17,0.10893566114059931,0.25548004767601123,1.3097998650070727e-11,-10.882795058667265
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.8-27B-FP8,gemini-3.1-pro-preview,,,,,,,,,100,-0.19,1.3535960336164634,0.13535960336164635,-0.4585828195501905,0.07858281955019047,-1.4036684156968786,0.16354663785606094,11,89,0,100,0.11,0.06254196357064568,0.18631296503080313,2.5408533354921765e-16,-15.595020402806647
